#V    P          P1       err_P1      rho      err_rho     rdf    rdf_x   eta   err_eta
V1   2164.94  3.45789  0.0208685  0.722243  0.00265862  3.507  0.346  1.28783  .05830738
V2   1035.85  1.65448  0.012613  0.575019  0.00180395  2.907  0.346  0.687089  .007465416
V3   602.892  0.962951  0.0111648  0.465239  0.00182344  2.621  0.346  0.457168  .004408114
V4   384.389  0.613954  0.00665274  0.381716  0.0019747  2.479  0.346  0.338157  .003550486
V5   276.393  0.44146  0.00782948  0.317047  0.00144084  2.413  0.348  0.276092  .003267922
V6   204.964  0.327373  0.00389883  0.266199  0.00146148  2.400  0.346  0.231634  .002327912
V7   165.91  0.264995  0.00353704  0.225668  0.00116447  2.396  0.346  0.208344  .002837051
V8   131.585  0.21017  0.00192642  0.192965  0.0015221  2.389  0.348  0.188245  0.001
V9   109.308  0.174589  0.00170962  0.166287  0.000896086  2.418  0.348  0.175957  .002138797
V22   4548.47  7.26491  0.0397417  0.878383  0.00235923  4.571  0.346  3.34183  .01593117
V23   2420.75  3.86647  0.0241993  0.745539  0.00271456  3.640  0.346  1.47189  .01096618
V24   1425.79  2.2773  0.0192919  0.638188  0.00154447  3.126  0.346  0.897246  .00865437
V25   926.59  1.47997  0.012412  0.550496  0.00166709  2.827  0.346  0.62535  .00603933
V10  92.9567  0.148472  0.00107133  0.144338  0.000754086  2.433  0.348  0.169251  .002615324
V10-2  92.9567  0.148472  0.00107133  0.124338  0.000754086  2.433  0.348  0.15800251  .002615324
V11  65.4668  0.104565  0.000551244  0.103848  0.000642422  2.477  0.348  0.154154  .001839594
V12  57.7098  0.0921752  0.000759833  0.0933551  0.000493355  2.511  0.348  0.150266  .005059802
V13  51.4702  0.0822092  0.0010325  0.0842294  0.000360584  2.524  0.348  0.143515  .00549617
V15  42.7136  0.068223  0.000413667  0.0692569  0.000434424  2.556  0.348  0.142001  .002068078
V16  40.9946  0.0654774  0.000395884  0.0660513  0.000319204  2.547  0.346  0.139464  .002695166
V18  35.0707  0.0560156  0.000394977  0.0562277  0.000297378  2.582  0.348  0.135531  .003688223
V19  31.3857  0.0501299  0.000303833  0.0509046  0.000348442  2.595  0.348  0.135395  .002329823
V20  28.6864  0.0458185  0.000244809  0.0462327  0.000266584  2.602  0.346  0.134009  .002177916
